pollster,has_sponsor,pollscore,transparency_score,sample_size,end_date,pct_support,state
Marquette Law School,0,-1.3,6.5,4838,2024-08-07,52,Kansas
YouGov,1,-1.2,9.5,4100,2024-10-04,48,National
Marquette Law School,1,-1.4,7,1269,2024-10-06,52,National
Marquette Law School,0,-1.2,7.5,1248,2024-07-22,53,Iowa
CES / YouGov,0,-1.4,8,3633,2024-09-12,49,National
CES / YouGov,1,-1.4,8.5,4126,2024-08-29,48,National
The Washington Post,1,-1.2,10,4309,2024-08-18,51,West Virginia
Siena/NYT,0,-1.3,8.5,4290,2024-10-05,48,Indiana
CES / YouGov,1,-1.3,8.5,4107,2024-10-24,48,National
McCourtney Institute/YouGov,0,-1.2,7.5,1719,2024-07-21,46,Rhode Island
CES / YouGov,1,-1.1,7,1712,2024-09-18,49,New Jersey
YouGov,0,-1.4,7,871,2024-10-19,49,Arizona
Marquette Law School,0,-1.3,8.5,2115,2024-07-29,52,National
CES / YouGov,0,-1.4,10,2920,2024-08-22,49,National
The Washington Post,1,-1.4,9.5,1714,2024-08-31,49,Hawaii
CES / YouGov,1,-1.1,8.5,4114,2024-08-19,51,National
McCourtney Institute/YouGov,0,-1.2,8.5,1856,2024-08-10,49,National
YouGov,0,-1.1,9.5,2776,2024-08-19,51,New Jersey
YouGov,0,-1.4,8,1261,2024-10-11,47,Utah
YouGov,1,-1.2,8,4735,2024-10-07,52,Massachusetts
McCourtney Institute/YouGov,0,-1.2,9,1977,2024-09-23,49,National
Marquette Law School,1,-1.1,9.5,3952,2024-10-04,53,Arkansas
McCourtney Institute/YouGov,0,-1.4,7.5,522,2024-08-05,50,National
The Washington Post,1,-1.4,8.5,1663,2024-09-25,50,National
The Washington Post,1,-1.2,10,2073,2024-09-15,52,Delaware
McCourtney Institute/YouGov,0,-1.2,7.5,1037,2024-07-29,49,California
Siena/NYT,0,-1.3,10,3577,2024-09-22,51,Texas
The Washington Post,1,-1.3,8.5,4541,2024-09-16,49,California
YouGov,0,-1.1,8.5,3817,2024-09-14,50,Kentucky
McCourtney Institute/YouGov,1,-1.1,6.5,4301,2024-10-03,50,Pennsylvania
YouGov,0,-1.2,8.5,789,2024-10-01,52,National
Marquette Law School,1,-1.5,9.5,3000,2024-08-17,50,National
Marquette Law School,0,-1.3,9,3500,2024-08-12,52,National
YouGov,0,-1.3,8,4947,2024-10-07,49,Michigan
YouGov,1,-1.4,10,3748,2024-10-10,47,National
CES / YouGov,0,-1.2,7,1139,2024-08-12,51,California
McCourtney Institute/YouGov,1,-1.4,7,3421,2024-10-14,50,Colorado
Siena/NYT,1,-1.2,6.5,859,2024-10-08,49,Oregon
CES / YouGov,0,-1.2,7,2710,2024-09-24,50,Kansas
YouGov,1,-1.5,9,3978,2024-09-25,52,National
McCourtney Institute/YouGov,0,-1.4,9,2139,2024-08-21,48,Nevada
