pollster,sponsors,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
YouGov,Economist,-1.1,9,1363,2020-11-02,National,Joe Biden,53,2020
YouGov,Yahoo News,-1.1,8,1360,2020-11-01,National,Joe Biden,53,2020
Siena/NYT,NA,-1.5,8,1451,2020-10-31,Florida,Joe Biden,47,2020
Siena/NYT,NA,-1.5,8,1862,2020-10-31,Pennsylvania,Joe Biden,49,2020
Siena/NYT,NA,-1.5,8,1252,2020-10-30,Arizona,Joe Biden,49,2020
Siena/NYT,NA,-1.5,8,1253,2020-10-30,Wisconsin,Joe Biden,52,2020
ABC/Washington Post,NA,-1.2,9,824,2020-10-29,Florida,Joe Biden,48,2020
ABC/Washington Post,NA,-1.2,9,810,2020-10-29,Pennsylvania,Joe Biden,51,2020
YouGov,Economist,-1.1,9,1365,2020-10-27,National,Joe Biden,54,2020
Siena/NYT,NA,-1.5,8,1034,2020-10-27,North Carolina,Joe Biden,48,2020
CES / YouGov,NA,-1.1,10,50908,2020-10-27,National,Joe Biden,51,2020
CES / YouGov,NA,-1.1,10,3755,2020-10-27,Florida,Joe Biden,49,2020
CES / YouGov,NA,-1.1,10,1456,2020-10-27,Georgia,Joe Biden,48,2020
CES / YouGov,NA,-1.1,10,1627,2020-10-27,North Carolina,Joe Biden,49,2020
CES / YouGov,NA,-1.1,10,2703,2020-10-27,Pennsylvania,Joe Biden,52,2020
CES / YouGov,NA,-1.1,10,2947,2020-10-27,Texas,Joe Biden,47,2020
Siena/NYT,NA,-1.5,8,809,2020-10-26,Nevada,Joe Biden,49,2020
Siena/NYT,NA,-1.5,8,856,2020-10-26,Michigan,Joe Biden,49,2020
YouGov,Hofstra University Kalikow Center for the Study of the American Presidency,-1.1,9,2000,2020-10-26,National,Joe Biden,53.9,2020
YouGov,Florida State University,-1.1,9,1200,2020-10-26,Florida,Joe Biden,48,2020
YouGov,George Washington University,-1.1,9,2500,2020-10-26,National,Joe Biden,52,2020
YouGov,Yahoo News,-1.1,8,1350,2020-10-25,National,Joe Biden,54,2020
Marquette Law School,NA,-1.1,10,749,2020-10-25,Wisconsin,Joe Biden,48,2020
Siena/NYT,NA,-1.5,8,802,2020-10-25,Texas,Joe Biden,43,2020
ABC/Washington Post,NA,-1.2,9,789,2020-10-25,Michigan,Joe Biden,51,2020
ABC/Washington Post,NA,-1.2,9,809,2020-10-25,Wisconsin,Joe Biden,57,2020
YouGov,CBS News,-1.1,9,1228,2020-10-23,Florida,Joe Biden,50,2020
YouGov,CBS News,-1.1,9,1090,2020-10-23,Georgia,Joe Biden,49,2020
YouGov,CBS News,-1.1,9,1022,2020-10-23,North Carolina,Joe Biden,51,2020
