pollster,has_sponsor,numeric_grade,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
Siena/NYT,0,3,-1.5,9,1180,2024-10-26,Texas,Kamala Harris,42,2024
Siena/NYT,0,3,-1.5,9,1194,2024-10-26,Nebraska,Kamala Harris,40,2024
Siena/NYT,0,3,-1.5,9,500,2024-10-26,Nebraska CD-2,Kamala Harris,54,2024
YouGov,1,3,-1.1,9,2154,2024-10-25,National,Kamala Harris,50,2024
CES / YouGov,0,3,-1.1,10,48732,2024-10-25,National,Kamala Harris,51,2024
Siena/NYT,0,3,-1.5,9,2516,2024-10-23,National,Kamala Harris,48,2024
YouGov,1,3,-1.1,9,1293,2024-10-22,National,Kamala Harris,49,2024
YouGov,1,3,-1.1,9,1189,2024-10-21,National,Kamala Harris,48,2024
YouGov,1,3,-1.1,9,1435,2024-10-16,Arizona,Kamala Harris,48,2024
YouGov,1,3,-1.1,9,1314,2024-10-15,National,Kamala Harris,49,2024
YouGov,1,3,-1.1,9,2712,2024-10-11,National,Kamala Harris,51,2024
Siena/NYT,1,3,-1.5,9,857,2024-10-10,Pennsylvania,Kamala Harris,50,2024
Siena/NYT,0,3,-1.5,9,808,2024-10-10,Arizona,Kamala Harris,46,2024
YouGov,1,3,-1.1,9,1091,2024-10-10,Texas,Kamala Harris,46,2024
Marquette Law School,0,3,-1.1,10,652,2024-10-10,National,Kamala Harris,50,2024
Siena/NYT,0,3,-1.5,9,656,2024-10-08,Montana,Kamala Harris,40,2024
YouGov,1,3,-1.1,9,1230,2024-10-07,National,Kamala Harris,49,2024
The Washington Post,0,3,-1.2,9,1002,2024-10-07,Ohio,Kamala Harris,45,2024
Siena/NYT,0,3,-1.5,9,3385,2024-10-06,National,Kamala Harris,49,2024
Siena/NYT,0,3,-1.5,9,622,2024-10-06,Florida,Kamala Harris,41,2024
YouGov,1,3,-1.1,9,1032,2024-10-04,National,Kamala Harris,47,2024
YouGov,1,3,-1.1,9,1033,2024-10-04,National,Kamala Harris,48,2024
Siena/NYT,0,3,-1.5,9,617,2024-10-04,Texas,Kamala Harris,44,2024
YouGov,1,3,-1.1,9,1261,2024-10-01,National,Kamala Harris,49,2024
The Washington Post,0,3,-1.2,9,1001,2024-09-29,North Carolina,Kamala Harris,48,2024
McCourtney Institute/YouGov,0,3,-1.1,6.5,848,2024-09-27,National,Kamala Harris,48,2024
Siena/NYT,0,3,-1.5,9,680,2024-09-26,Nebraska CD-2,Kamala Harris,52,2024
Siena/NYT,0,3,-1.5,9,688,2024-09-26,Michigan,Kamala Harris,48,2024
Siena/NYT,0,3,-1.5,9,687,2024-09-26,Ohio,Kamala Harris,44,2024
Siena/NYT,0,3,-1.5,9,680,2024-09-26,Wisconsin,Kamala Harris,49,2024
Marquette Law School,0,3,-1.1,10,798,2024-09-26,Wisconsin,Kamala Harris,52,2024
YouGov,1,3,-1.1,9,1220,2024-09-24,National,Kamala Harris,49,2024
YouGov,1,3,-1.1,9,1441,2024-09-24,Georgia,Kamala Harris,49,2024
Siena/NYT,0,3,-1.5,9,713,2024-09-21,Arizona,Kamala Harris,45,2024
Siena/NYT,0,3,-1.5,9,682,2024-09-21,Georgia,Kamala Harris,45,2024
Siena/NYT,0,3,-1.5,9,682,2024-09-21,North Carolina,Kamala Harris,47,2024
YouGov,1,3,-1.1,9,3129,2024-09-20,National,Kamala Harris,52,2024
The Washington Post,0,3,-1.2,9,1003,2024-09-16,Pennsylvania,Kamala Harris,48,2024
Siena/NYT,0,3,-1.5,9,2437,2024-09-16,National,Kamala Harris,47,2024
Siena/NYT,1,3,-1.5,9,1082,2024-09-16,Pennsylvania,Kamala Harris,50,2024
YouGov,1,3,-1.1,9,1090,2024-09-13,National,Kamala Harris,50,2024
YouGov,1,3,-1.1,9,1077,2024-09-06,Michigan,Kamala Harris,50,2024
YouGov,1,3,-1.1,9,1078,2024-09-06,Pennsylvania,Kamala Harris,50,2024
YouGov,1,3,-1.1,9,946,2024-09-06,Wisconsin,Kamala Harris,51,2024
Siena/NYT,0,3,-1.5,9,1695,2024-09-06,National,Kamala Harris,47,2024
Marquette Law School,0,3,-1.1,10,738,2024-09-05,Wisconsin,Kamala Harris,52,2024
YouGov,1,3,-1.1,9,3253,2024-08-16,National,Kamala Harris,51,2024
YouGov,1,3,-1.1,9,900,2024-08-16,Missouri,Kamala Harris,41,2024
Siena/NYT,0,3,-1.5,9,677,2024-08-15,Nevada,Kamala Harris,47,2024
Siena/NYT,0,3,-1.5,9,677,2024-08-15,Arizona,Kamala Harris,50,2024
Siena/NYT,0,3,-1.5,9,655,2024-08-14,North Carolina,Kamala Harris,49,2024
Siena/NYT,0,3,-1.5,9,661,2024-08-14,Georgia,Kamala Harris,46,2024
Siena/NYT,0,3,-1.5,9,693,2024-08-09,Pennsylvania,Kamala Harris,50,2024
Siena/NYT,0,3,-1.5,9,619,2024-08-08,Michigan,Kamala Harris,50,2024
Siena/NYT,0,3,-1.5,9,661,2024-08-08,Wisconsin,Kamala Harris,50,2024
YouGov,1,3,-1.1,9,3092,2024-08-02,National,Kamala Harris,50,2024
Marquette Law School,0,3,-1.1,10,801,2024-08-01,Wisconsin,Kamala Harris,50,2024
Marquette Law School,0,3,-1.1,10,683,2024-08-01,National,Kamala Harris,53,2024
Siena/NYT,0,3,-1.5,9,1142,2024-07-24,National,Kamala Harris,47,2024
YouGov,1,3,-1.1,9,1155,2024-07-23,National,Kamala Harris,44,2024
