pollster,sponsors,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
Siena/NYT,NA,-1.5,9,1180,2024-10-26,Texas,Kamala Harris,42,2024
Siena/NYT,NA,-1.5,9,1194,2024-10-26,Nebraska,Kamala Harris,40,2024
Siena/NYT,NA,-1.5,9,500,2024-10-26,Nebraska CD-2,Kamala Harris,54,2024
YouGov,CBS News,-1.1,9,2154,2024-10-25,National,Kamala Harris,50,2024
Emerson,The Hill | Nexstar,-1.1,7,1000,2024-10-25,Montana,Kamala Harris,39.6,2024
CES / YouGov,NA,-1.1,10,48732,2024-10-25,National,Kamala Harris,51,2024
Emerson,NA,-1.1,7,1000,2024-10-24,National,Kamala Harris,49.3,2024
Emerson,7News/WHDH | The Hill,-1.1,7,915,2024-10-23,New Hampshire,Kamala Harris,50.9,2024
Siena/NYT,NA,-1.5,9,2516,2024-10-23,National,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,1704,2024-10-23,National,Kamala Harris,47,2024
Suffolk,USA Today,-1,8,500,2024-10-23,Wisconsin,Kamala Harris,46.6,2024
Washington Post/George Mason University,NA,-0.8,9,1004,2024-10-23,Virginia,Kamala Harris,49,2024
Emerson,RealClearPennsylvania,-1.1,7,860,2024-10-22,Pennsylvania,Kamala Harris,49,2024
Emerson,RealClearWorld,-1.1,7,950,2024-10-22,North Carolina,Kamala Harris,48.2,2024
Emerson,RealClearWorld,-1.1,7,800,2024-10-22,Wisconsin,Kamala Harris,49.2,2024
YouGov,Economist,-1.1,9,1293,2024-10-22,National,Kamala Harris,49,2024
Emerson,KELO-TV | The Hill,-1.1,7,825,2024-10-22,South Dakota,Kamala Harris,36.5,2024
Ipsos,ABC News,-0.9,9.5,1913,2024-10-22,National,Kamala Harris,51,2024
East Carolina University,NA,-0.5,7,950,2024-10-22,South Carolina,Kamala Harris,42,2024
Marist,NA,-0.9,9,1193,2024-10-22,Georgia,Kamala Harris,49,2024
Marist,NA,-0.9,9,1226,2024-10-22,North Carolina,Kamala Harris,48,2024
Marist,NA,-0.9,9,1193,2024-10-22,Arizona,Kamala Harris,49,2024
University of Maryland/Washington Post,NA,-0.3,8,1000,2024-10-22,Maryland,Kamala Harris,61,2024
Emerson,The Hill | Nexstar | WDVM (DC News Now),-1.1,7,865,2024-10-21,Maryland,Kamala Harris,64,2024
YouGov,The Times of London | SAY24,-1.1,9,1189,2024-10-21,National,Kamala Harris,48,2024
Emerson,The Hill | Nexstar,-1.1,7,815,2024-10-21,Texas,Kamala Harris,45.9,2024
Quinnipiac,NA,-0.5,9,1136,2024-10-21,Michigan,Kamala Harris,49,2024
Quinnipiac,NA,-0.5,9,1108,2024-10-21,Wisconsin,Kamala Harris,48,2024
Ipsos,Reuters,-0.9,9.5,3307,2024-10-21,National,Kamala Harris,48,2024
Emerson,The Hill | Nexstar,-1.1,7,860,2024-10-20,Florida,Kamala Harris,45.9,2024
Suffolk,USA Today,-1,8,1000,2024-10-18,National,Kamala Harris,45.3,2024
U. North Florida,NA,-0.6,10,977,2024-10-18,Florida,Kamala Harris,43,2024
Siena,NA,-0.8,7,872,2024-10-17,New York,Kamala Harris,54,2024
AtlasIntel,NA,-0.8,6,4180,2024-10-17,National,Kamala Harris,47.6,2024
AtlasIntel,NA,-0.8,6,1440,2024-10-17,Arizona,Kamala Harris,48.6,2024
AtlasIntel,NA,-0.8,6,1411,2024-10-17,Georgia,Kamala Harris,48.1,2024
AtlasIntel,NA,-0.8,6,1529,2024-10-17,Michigan,Kamala Harris,46.8,2024
AtlasIntel,NA,-0.8,6,1171,2024-10-17,Nevada,Kamala Harris,48.1,2024
AtlasIntel,NA,-0.8,6,1674,2024-10-17,North Carolina,Kamala Harris,49.5,2024
AtlasIntel,NA,-0.8,6,2048,2024-10-17,Pennsylvania,Kamala Harris,46.5,2024
AtlasIntel,NA,-0.8,6,932,2024-10-17,Wisconsin,Kamala Harris,48.9,2024
Emerson,NA,-1.1,7,1000,2024-10-16,National,Kamala Harris,49.5,2024
YouGov,CBS News,-1.1,9,1435,2024-10-16,Arizona,Kamala Harris,48,2024
YouGov,Economist,-1.1,9,1314,2024-10-15,National,Kamala Harris,49,2024
PPIC,NA,-0.4,10,1137,2024-10-15,California,Kamala Harris,59,2024
Washington Post/George Mason University,NA,-0.8,9,580,2024-10-15,Arizona,Kamala Harris,46,2024
