pollster,has_sponsor,numeric_grade,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
Siena/NYT,0,3,-1.5,9,1180,2024-10-26,Texas,Donald Trump,52,2024
Siena/NYT,0,3,-1.5,9,1194,2024-10-26,Nebraska,Donald Trump,55,2024
Siena/NYT,0,3,-1.5,9,500,2024-10-26,Nebraska CD-2,Donald Trump,42,2024
YouGov,1,3,-1.1,9,2154,2024-10-25,National,Donald Trump,49,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-25,Montana,Donald Trump,58.6,2024
CES / YouGov,0,3,-1.1,10,48732,2024-10-25,National,Donald Trump,47,2024
Emerson,0,2.9,-1.1,7,1000,2024-10-24,National,Donald Trump,49.3,2024
Emerson,1,2.9,-1.1,7,915,2024-10-23,New Hampshire,Donald Trump,47.2,2024
Siena/NYT,0,3,-1.5,9,2516,2024-10-23,National,Donald Trump,48,2024
CNN/SSRS,0,2.8,-0.6,10,1704,2024-10-23,National,Donald Trump,47,2024
Suffolk,1,2.9,-1,8,500,2024-10-23,Wisconsin,Donald Trump,48,2024
Washington Post/George Mason University,0,2.7,-0.8,9,1004,2024-10-23,Virginia,Donald Trump,43,2024
Emerson,1,2.9,-1.1,7,860,2024-10-22,Pennsylvania,Donald Trump,50.7,2024
Emerson,1,2.9,-1.1,7,950,2024-10-22,North Carolina,Donald Trump,50.2,2024
Emerson,1,2.9,-1.1,7,800,2024-10-22,Wisconsin,Donald Trump,49.9,2024
YouGov,1,3,-1.1,9,1293,2024-10-22,National,Donald Trump,46,2024
Emerson,1,2.9,-1.1,7,825,2024-10-22,South Dakota,Donald Trump,62,2024
Ipsos,1,2.8,-0.9,9.5,1913,2024-10-22,National,Donald Trump,47,2024
East Carolina University,0,2.6,-0.5,7,950,2024-10-22,South Carolina,Donald Trump,55.1,2024
Marist,0,2.9,-0.9,9,1193,2024-10-22,Georgia,Donald Trump,49,2024
Marist,0,2.9,-0.9,9,1226,2024-10-22,North Carolina,Donald Trump,50,2024
Marist,0,2.9,-0.9,9,1193,2024-10-22,Arizona,Donald Trump,50,2024
University of Maryland/Washington Post,0,2.5,-0.3,8,1000,2024-10-22,Maryland,Donald Trump,33,2024
Emerson,1,2.9,-1.1,7,865,2024-10-21,Maryland,Donald Trump,34.4,2024
YouGov,1,3,-1.1,9,1189,2024-10-21,National,Donald Trump,45,2024
Emerson,1,2.9,-1.1,7,815,2024-10-21,Texas,Donald Trump,53.1,2024
Quinnipiac,0,2.8,-0.5,9,1136,2024-10-21,Michigan,Donald Trump,46,2024
